周	代名也周至也遍也備也今名書義取周普
辯物	如字王肅※免反
繫吝	繫或作係本作黨係
則否	方有反又備鄙反
褊	必淺反
狹	戸夾反
于莽	莫蕩反王肅冥黨反鄭云叢木也
物黨	物或作朋
所比	毗志反
所當	如字
量斯	音良又音亮
其墉	徐音容鄭作庸
而效	下敎反
不克則反反則得吉也	一本作反則得得則吉也
號	户羔反
咷	道刀反號咷啼呼也
而逺	𡊮万反
内爭	爭𨷖之爭
異災	一本作它災
䷍大有	包容豐富之象乾宫歸魂卦
遏	於葛反止也徐又音謁
休命	虚虬反美也徐又許求反
大車	王肅剛除反蜀才作輿
不泥	乃計反
用亨	許庚反通也下同衆家並香兩反京云獻也干云享宴也姚云享祀也
其彭	歩郎反子夏作旁干云彭亨驕滿貌王肅云壯也虞作尪姚云彭旁徐音同
上近	如字亦附近之近
下比	毗志反
至知	音智
可舎	音捨
斯數	色助反
晢	章舌反王廙作晣同音徐李之世反又作哲字鄭本作遰云讀如明星晢晢陸本作逝虞作折
何難	依象冝如字一音乃旦反
易而	以豉反
祐之	音又
不累	劣僞反下同
盡夫	津忍反
繫辭	音係
䷎謙	卑退爲義屈己下物也兊宫五世卦子夏作嗛云嗛謙也
下濟	節細反
而上	時掌反下注上承上行同
虧盈	馬木作毁盈
而福	京本作而富
惡盈	烏路反卦末注同
而好	呼報反
裒	蒲侯反鄭荀董蜀才作捊云取也字書作掊廣雅云掊減
稱物	尺證反
平施	始豉反注同
大難	乃旦反
自牧	牧養之牧徐音目一音茂
名者聲名聞之謂也	一讀名者聲絶句聞音問
匪解	佳賣反
撝	毁皮反指撝也義與麾同書云右秉白旄以麾是也馬云撝猶離也鄭讀爲宣
下下	上遐嫁反下如字下句同
用侵	王廙作寢
征國	本或作征邑國者非
不與	音預
爲爭	爭𨷖之爭
䷏豫	餘慮反恱豫也備豫也馬云豫樂震宫一世卦
不忒	他得反鄭云差也京作貸
地奮	方問反
殷	於勤反馬云盛也※文云作樂之盛稱殷京作隱
薦	將電反本又作※同本或作※獸名耳非
介于	音界纎介古文作砎鄭古八反云謂磨砎也馬作扴云觸小石聲
苟※	音恱
盱	香于反睢盱也向云睢盱小人喜恱之貌王肅云盱大也鄭云誇也※文云張目也字林火孤反又火于反子夏作紆京作汙姚作旴云日始出引詩旴日始旦
睢	香維反※文云仰目也字林火佳反
由豫	由從也鄭云用也馬作猶云猶豫疑也
盍	胡臘反合也
簪	徐側林反子夏傳同疾也鄭云速也埤蒼同王肅又祖感反古文作貸京作撍馬作臧荀作宗虞作戠戠叢合也蜀才本依京義從鄭
冥	覓經反馬云冥昧耽於樂也王廙云深也又亡定反鄭讀爲鳴
有渝	羊朱反
盡	津忍反
樂	音洛
䷐隨	從也震宫歸魂卦
而下	遐嫁反注下柔同
而※	音恱注下皆同
大亨貞	本又作大亨利貞
而天下隨時	王肅本作隨之
隨時之義	王肅本作隨之時義
而令	力呈反
否之	備鄙反
以嚮	本又作向許亮反王肅本作郷音同
入宴	徐烏練反王肅烏顯反
官有	蜀才作館有
故舎	音捨下文同
以擅	市戰反
盡隨	津忍反盡卷末同
位正中也	一本作中正
拘	句于反
用亨	許庚反通也陸許兩反云祭也
之濵	音賔
䷑蠱	音古事也惑也亂也左傳云於文皿蟲爲蠱又云女惑男風落山謂之蠱徐又姬祖反一音故巽宫歸魂卦
先甲	息薦反※并注同
後甲	胡豆反※并注同
以斷	丁亂反
施令	力政反下同
競爭	爭𨷖之爭
治也	直吏反注同
※隨	音恱
創制	初亮反此俗字也依字作剏
復始	扶又反
以振	舊之愼反濟也師讀音眞振振仁厚也
育德	王肅作毓古育字
有子考无咎	絶句周依馬王肅以考絶句
當事	丁堂反
盡承	津忍反下皆同
裕父	羊樹反馬云寛也
不累	劣僞反
䷒臨	如字序卦云大也坤宫二世卦
剛浸	子鴆反
而長	丁丈反除六三注末及象咎不長皆同一音此治良反
※而	音恱下同
敎思	息吏反注同
无疆	居良反注同
剛勝	升證反下同
佞邪	似嗟反下同
媚	密備反
位當也	本或作當位實非也
知臨	音智注同又如字
䷓觀	官喚反示也乾宫四世卦
盥	音管
而不薦	王又作同牋練反王肅本作而觀薦
顒	魚恭反
足復	扶又反
旣灌	官喚反
不忒	吐得反
神道設敎	一本作以神道設敎
省方	悉井反
童觀	馬云童猶獨也鄭云稚也
最逺	𡊮万反
朝美	直遥反
所鑒	古暫反下同
趣	促裕反
闚	苦規反本亦作窺
者狹	户夾反
象曰闚觀女貞	一本有利字
不比	毗志反
觀國之光	如字或音官喚反
最近	附近之近
居近	如字
德見	賢遍反
平易	以豉反
盡夫觀盛故觀至大觀在上	王肅音官
以觀天下	徐唯此一字作官音
觀盥而不薦觀之爲道而以觀感風行地上
觀處於觀時君子處大觀之時處大觀之時大觀廣鑒	亦音官
居觀之時爲觀之主觀之盛也	從盡夫觀以下並官喚反餘不出者並音官
周易上經噬嗑傳第三䷔噬	市制反齧也
嗑	胡臘反合也巽宫五世卦
齧	研節反
有閒	如字下同又音間厠之閒
與過	一本作有過
頤	以之反
不合	本又作而合
不溷	胡困反濁也雜也亂也韋昭云汙辱也
上行	時掌反注同
勑法	恥力反此俗字也字林作勅鄭云勑猶理也一云整也
屨	紀具反
校	爻敎反注及下同馬音敎
滅止	本亦作趾趾足也
桎	章實反
足懲	直冰反
木絞	交卯反
械	口戒反
不行也	或本作止不行也
噬膚	方于反馬云柔脃肥美曰膚
未盡	津忍反下同
其分	扶問反
脃	七歳反
腊肉	音昔馬云晞於陽而煬於火曰腊肉鄭注周禮小物全乾曰腊
乾	音干
胏	緇美反馬云有骨謂之肺鄭云簀也字林云含食所遺也一曰脯也子夏作脯徐音甫荀董同
未光大也	本亦無大字
何校	何可反又音何本亦作荷音同下同王肅云荷擔
聦不明也	馬云耳無所聞鄭云目不明耳不聦王肅云言其聦之不明
可解	佳買反
䷕賁	彼僞反徐甫※反李※府瓫反傅氏云賁古字文章貌鄭云變也文飾之貌王肅符文反云有文飾黃白色艮宫一世卦
剛上	時掌反注剛上皆同
解天	音蟹下同
以明	蜀才本作命
折	之舌反注同鄭云斷也斷音丁亂反
其趾	一本作止鄭云趾足
舎	音捨下及注同
車	音居鄭張本作輿從漢時始有居音
安夫	音符
其須	如字字從彡水邊作非
而比	毗志反下同
上附	時掌反
循	似遵反
濡	如㬰反
皤	白波反※文云老人貌董音槃云馬作足橫行曰皤鄭陸作燔音煩荀作波
翰	尸旦反董黃云馬舉頭髙卬也馬荀云髙也鄭云白也亦作寒案反
媾	古豆反
而閡	五戴反
寇難	乃旦反下同
賁于丘園	黃本賁作丗
束帛	子夏傳云五匹爲束三𤣥二纁象隂陽
戔戔	在千反馬云委積貌薛虞云禮之多也又音牋黃云猥積貌一云顯見貌子夏傳作殘殘
有喜	如字徐許意反无妄大畜卦放此
䷖剥	邦角反云剥剥也馬云落也※文云裂也乾宫五世卦
人長	丁丈反下注皆同
激	經歷反
拂	附弗反
觸忤	五故反
以殞	于敏反
失處	昌吕反又昌預反
蔑	莫結反猶削也楚俗有削蔑之言馬云無也鄭云輕慢荀作滅
猶削	相略反或作消此從荀本也下皆然
辨	徐音辦具之辦足上也馬鄭同黃云牀簀也薛虞膝下也鄭符勉反王肅否勉反
道浸	子鴆反下同
稍近	附近之近
六三剥无咎	一本作剥之无咎非
以膚	方于反京作簠謂祭器
