周	代名也周至也遍也備也今名書義取周普
缶	方有反瓦器也鄭云汲器也爾雅云盎謂之缶
有它	敇多反本亦作他
匪人	非鬼反馬云匪非也王肅本作匪人凶
三驅	匡愚反徐云鄭作敺馬云三驅者一曰乾豆二曰賔客三曰君庖
狹矣	戸夾反
則舍	音赦又音捨
背已	音佩
則射	食亦反
惡而	烏路反
舍逆	音捨
䷈小畜	本又作蓄同敕六反積也聚也卦内皆同鄭許六反養也巽宫一世卦
施未	始豉反注皆同
陽上	時掌反
蒸	職膺反
車説	吐活反下文并注並同説文云解也
輻也	音福
雖復	扶又反上九注同
輿	音餘
輻	音福本亦作輹音服馬云車下縛也鄭云伏莬
隂長	丁丈反下同
血	知字馬云當作恤憂也
去	起吕反注同
亦惡	烏路反履卦同
攣	力専反馬云連也徐又力轉反子夏傳作戀云思也
幾	徐音祈又音機注同子夏傳作近
唯泰也則然	一本作然則讀即以也字絶句
有難	乃旦反
可盡	津忍反
䷉履	利恥反禮也艮宫五世卦
咥	直結反齧也馬云齕
説而	音悦注及後同
行夫	音符下同
佞邪	似嗟反
疚	久又反馬云病也陸本作疾
坦坦	吐但反説文云安也廣雅云平也明也蒼頡篇云著也
不憙	虚備反又音喜
險厄	於革反又作戹
眇	妙小反字書云盲也説文云小目
跛	波我反足跛也依字作破
不脩	本又作循
行未	下孟反
愬愬	山革反子夏傳云恐懼貌何休注公羊傳云驚愕也馬本作虩虩音許逆反云恐懼也説文同廣雅云懼也
逼近	附近之近
夬	古快反
考祥	本亦作詳
周易上經泰傳第二䷊泰	如字大通也鄭云通也馬云大也坤宫三世卦
道長	丁丈反
財成	音才徐才載反荀作裁
輔相	息亮反注同
以左	音佐注同
右民	音佑注同左右助也
拔	蒲八反
茅卯交反鄭音苗茹	汝據反牽引也鄒湛同王肅音如
彚	音胃類也李于鬼反傅氏注云彚古偉字美也古文作※董作夤出也鄭云勤也
包	本又作苞必交反下卦同音薄交反
荒	本亦作巟音同鄭注禮云穢也説文水廣也又大也鄭讀為康云虚也
用馮	音憑注同
荒穢	於廢反
不陂	彼偽反徐甫寄反傾也注同又破河反偏也
象曰无平不陂	一本作无往不復
篇篇	如字子夏傳作翩翩向本同云輕舉貌古文作偏偏
以祉	音恥一音勑子反又音止
女處	本亦作爻處
盡夫	音符後皆放此以意求之
隍	音皇城塹也子夏作堭姚作湟
所應	如字舊音應對之應
上承時掌反下施	始䜴反
否道	備鄙反
䷋否	備鄙反卦内同閉也塞也乾宫三世卦
道長	丁丈反
辟難	上音避下乃旦反
入邪	似嗟反
不諂	勑撿反
否亨	許庚反
疇	直留反鄭作古※字
休否	虚虬反美也又許求反息也注同
䷌同人	和同也離宫歸魂卦
以邪	似嗟反
炎上	時掌反
辯物	如字王肅卜免反
繫吝	繫或作係本作黨係
則否	方有反又備鄙反
褊	必淺反
狹	户夾反
于莽莫蕩反王肅冥黨反鄭云叢木也物黨	物或作朋
所比	毗志反
所當	如字
量斯	音良又音亮
其墉	徐音容鄭作庸
而效	下敎反
不克則反反則得吉也	一本作反則得得則吉也
號	戸羔反
咷	道刀反號咷啼呼也
而逺	袁万反
内爭	爭鬭之爭
異災	一本作它災
䷍大有	包容豐富之象乾宫歸魂卦
遏	於葛反止也徐又音謁
休命	虚虬反美也徐又許求反
大車	王肅荆余反蜀才作輿
不泥	乃計反
用亨	許庚反通也下同衆家並香兩反京云獻也干云亨宴也姚云亨祀也
其彭	歩郎反子夏作旁干云彭亨驕滿貌王肅云壯也虞作尪姚云彭旁徐音同
上近	如字亦附近之近
下比	毗志反
至知	音智
可舍	音捨
斯數	色助反
晢	章舌反王廙作晣同音徐李之世反又作哲字鄭本作遰云讀如明星晢哲陸本作逝虞作折
何難	依象冝如字一音乃旦反
易而	以豉反
祐之	音又
不累	劣偽反下同
盡夫	津忍反
繫辭	音係
䷎謙	卑退為義屈已下物也兊宫五世卦子夏作嗛云嗛謙也
下濟	節細反
而上	時掌反下注上承上行同
虧盈	馬本作毁盈
而福	京本作而富
惡盈	烏路反卦末注同
而好	呼報反
裒	蒲侯反鄭荀董蜀才作捊云取也字書作掊廣雅云掊減
稱物	尺證反
平施始䜴反注同大難	乃旦反
自牧	牧養之牧徐音目一音茂
鳴者聲名聞之謂也	一讀鳴者聲絶句聞音問
匪解	佳賣反
撝	毁皮反指撝也義與麾同書云右秉白旄以麾是也馬云撝猶離也鄭讀為宣
下下	上遐嫁反下如字下句同
用侵	王廙作寢
征國	本或作征邑國者非
不與	音預
爲爭	爭鬭之争
䷏豫	餘慮反悦豫也備豫也馬云豫樂震宫一世卦
不忒	他得反鄭云差也京作貸
地奮方問反殷	於勤反馬云盛也說文云作樂之盛稱殷京作隱
薦	将電反本又作※同本或作廌獸名耳非
介于	音界纎介古文作砎鄭古八反云謂磨砎也馬作扴云觸小石聲
苟説	音悦
盱	香于反睢盱也向云睢盱小人喜悦之貌王肅云盱大也鄭云誇也説文云張目也字林火孤反又火于反子夏作紆京作汙姚作旴云日始出引詩旴日始旦
睢	香維反説文云仰目也字林火佳反
由豫	由從也鄭云用也馬作猶云猶豫疑也
盍	胡臘反合也
簪	徐側林反子夏傳同疾也鄭云速也埤蒼同王肅又祖感反古文作貸京作撍馬作臧荀作宗虞作戠戠叢合也蜀才本依京義從鄭
冥	覓經反馬云冥昧耽於樂也王廙云深也又亡定反鄭讀為鳴
有渝	羊朱反
盡	津忍反
樂	音洛
䷐隨	從也震宫歸魂卦
而下	遐嫁反注下柔同
而説	音悦注下皆同
大亨貞	木又作大亨利貞
而天下隨時	王肅本作隨之
隨時之義	王肅本作隨之時義
而令	力呈反
否之	備鄙反
以嚮	本又作向許亮反王肅本作鄉音同
入宴	徐烏練反王肅烏顯反
官有	蜀才作館有
故舍	音捨下文同
以擅	市戰反
盡隨	津忍反盡卷末同
位正中也	一本作中正
拘	句于反
用亨	許庚反通也陸許兩反云祭也
之濵音賔䷑蠱	音古事也惑也亂也左傳云於文皿蠱又云女惑男風落山謂之蠱徐又姬祖反一音故巽宫歸魂卦
先甲	息薦反彖并注同
後甲	胡豆反彖并注同
以斷	丁亂反
